Wavelength(nm),Intensity
614.509,46532.55
614.71,46567.49
614.911,46615.88
615.112,46414.73
615.312,46547.97
615.513,46794.83
615.714,46594.91
615.914,46792.95
616.115,46731.53
616.316,46825.29
616.516,46730.22
616.717,47337.08
616.918,46593.62
617.118,46981.1
617.319,46804.3
617.519,46881.77
617.72,46563.5
617.92,46611.95
618.121,46466.81
618.321,46630.14
618.522,45958.44
618.722,46616.5
618.923,46251.82
619.123,46316.35
619.324,46349.77
619.524,46335.23
619.724,46151.42
619.925,46524.56
620.125,46406.99
620.326,46600.03
620.526,46418.91
620.726,46977.08
620.927,46813.43
621.127,47070.41
621.327,46919.06
621.527,47162.98
621.728,47033.71
621.928,47036.6
622.128,46820.89
622.328,47286.29
622.529,46784.37
622.729,46916.69
622.929,46926.46
623.129,46945.75
623.329,46959.33
623.529,47044.77
623.73,46763.83
623.93,47066.74
624.13,46824.26
624.33,47167.2
624.53,46622.66
624.73,47084.36
624.93,46915.83
625.13,46923.78
625.33,46827.38
625.53,46976.67
625.73,46895.94
625.93,47129.53
626.13,46884.43
626.33,47060.89
626.53,46573.59
626.73,47212.54
626.929,47032.62
627.129,47081.43
627.329,46945.73
627.529,47431.45
627.729,46729.57
627.929,47292.63
628.128,47104.32
628.328,47074.4
628.528,46717.59
628.728,47195.6
628.928,46777.28
629.127,47014.32
629.327,46918.7
629.527,47189.31
629.726,46898.4
629.926,47150.06
630.126,46945.81
630.325,47256.57
630.525,47126.03
630.725,47213.28
630.924,47170.08
631.124,47247.54
631.323,47179.14
631.523,47392.8
631.722,47208.61
631.922,47272.54
632.122,47155.97
632.321,47217.97
632.521,47322.04
632.72,47302.49
632.919,46985.89
633.119,47362.14
633.318,47260.71
633.518,47199.47
633.717,47107.81
633.917,47037.23
634.116,47256.59
634.315,47018.06
634.515,46355.53
634.714,47067.34
634.913,46671.81
635.113,46649.57
635.312,47017.49
635.511,46983.06
635.71,46757.99
635.91,46869.46
636.109,46837.06
636.308,46865.96
636.507,46768.42
636.706,47006.9
636.906,46625.9
637.105,47103.42
637.304,46867.54
637.503,46830.12
637.702,46982.47
637.901,47217.02
638.1,46852.61
638.299,47112.82
638.499,47047.55
638.698,47180.53
